Compound Numbers,Molecule SMILES,Purity,pIC50, std_dev_pIC50
1,COC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=C(OC)C=C3)CC4=CNC5=CC=CC=C54,96.9,7.93 ,0.21
4,C12=CC=CC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)=CN2,99,8.14 ,0.14
5,FC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=C(F)C=C3)CC4=CNC5=CC=CC=C54,99,7.81 ,0.04
6,ClC1=CC=CC=C1C2=NN=C(N=C2C3=C(Cl)C=CC=C3)CC4=CNC5=CC=CC=C54,99,7.72 ,0.05
7,BrC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=C(Br)C=C3)CC4=CNC5=CC=CC=C54,96.6,7.60 ,0.02
8,C12=CC=CC=C1C(CC3=NN=C(C4=CC=CC=N4)C(C5=NC=CC=C5)=N3)=CN2,99,5.70 ,0.21
9,CC(C)C1=NC(CC2=CNC3=CC=CC=C32)=NN=C1C(C)C,99,5.38 ,0.05
10,O=C(C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=C(C(OC)=O)C=C3)CC4=CNC5=CC=CC=C54)OC,100,6.67 ,0.08
11,C12=CC=CC=C1C(CC3=NN=C(C4=CC=CS4)C(C5=CC=CS5)=N3)=CN2,95.3,7.62 ,0.05
12,FC1=CC=C(NC=C2CC3=NN=C(C4=CC=C(OC)C=C4)C(C5=CC=C(OC)C=C5)=N3)C2=C1,99,6.92 ,0.07
14,COC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=C(OC)C=C3)CC4=NNC5=CC=CC=C54,96.7,6.67 ,0.03
15,FC1=CC=C2C(NC=C2CC3=NN=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)=C1,95.4,6.65 ,0.03
17,C12=CC=NC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)=CN2,95.6,7.78 ,0.07
18,C12=CN=CC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)=CN2,100,8.07 ,0.16
19,C12=NC=CC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)=CN2,95,6.92 ,0.28
20,C12=NC=C(CC3=NN=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N3)N1C=CC=C2,97.9,5.44 ,0.09
21,CCCCCC1=NN=C(C2=CC=CC=C2)C(C3=CC=CC=C3)=N1,100,5.12 ,0.05
22,C1(CCC2=CC=CN=C2)=NN=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=N1,100,5.00 ,0.17
23,CC1=CC(CC2=NN=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=N2)=NN1,100,4.97 ,0.23
24,C1(NCC2=NC=CC=C2)=NN=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=N1,100,5.47 ,0.05
27,FC(F)(F)OC(C=CC=C1)=C1C2=NN=C(N=C2)CC3=CNC4=CC=CC=C43,98.8,5.59 ,0.13
28,CC1=NN=C(N=C1C2=CC=CC=C2)CC3=CNC4=CC=CC=C43,99,4.99 ,0.69
29,CC1=NC(CC2=CNC3=CC=CC=C32)=NN=C1C4=CC=CC=C4,95.7,5.25 , 0.21
30,C12=CC=CC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=CC=CN=N5)=N3)=CN2,100,5.70 ,0.09
31,C12=CC=CC=C1C(CC3=NN=C(C4=CC=CN=N4)C(C5=CC=CC=C5)=N3)=CN2,100,6.85 , 0.03
32,C12=CC=CC=C1C(CC3=NN=C(C4=NC=CC=N4)C(C5=CC=CC=C5)=N3)=CN2,100,6.58 ,0.08
33,O=S(C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5)(NC)=O,100,6.49 ,0.05
34,O=S(C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54)(NC)=O,100,6.39 ,0.04
35,O=S(C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5)(C)=O,100,6.06 ,0.05
36,O=S(C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54)(C)=O,99.6,6.18 ,0.04
37,O=C(C)OCC(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,96.9,8.30 , 0.35
38,CC(OCC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54)=O,99,8.06 ,0.27
39,OCC(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,7.16 ,0.04
40,OCC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,7.76 ,0.06
41,C12=CC=CC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=CC=C(CN6CCOCC6)C=C5)=N3)=CN2,100,7.51 , 0.28
42,C12=CC=CC=C1C(CC3=NN=C(C4=CC=C(CN5CCOCC5)C=C4)C(C6=CC=CC=C6)=N3)=CN2,100,8.28 , 0.11
43,CN(C)CC(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,6.20 ,0.05
44,CN(C)CC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,6.68 ,0.05
45,CC(NCC(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5)=O,97.5,6.93 ,0.06
46,O=C(C)NCC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,97.5,7.98 , 0.06
47,O=S(NCC(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5)(C)=O,100,6.72 ,0.06
48,O=S(NCC(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54)(C)=O,99.2,7.61 , 0.06
49,O=C(OC)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5,100,6.74 ,0.05
50,O=C(OC)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,7.31,0.06
51,OC(C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5)=O,100,6.55 ,0.26
52,O=C(O)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,100,7.06 , 0.22
53,O=C(OC)C1=CC=CC(C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5)=C1,100,6.40 ,0.05
54,O=C(OC)C1=CC=CC(C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54)=C1,100,6.94 ,0.03
55,OC(C1=CC=CC(C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5)=C1)=O,98.8,4.99 ,0.32
56,O=C(O)C1=CC=CC(C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54)=C1,100,5.49 ,0.10
57,O=C(NC)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CC=CC=C43)=NN=C2C5=CC=CC=C5.C,100,5.32 ,0.15
58,O=C(NC)C(C=C1)=CC=C1C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,99,6.49 ,0.05
59,C12=CN=CC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=NC=CN=C5)=N3)=CN2,100,5.38 ,0.12
60,C12=CN=CC=C1C(CC3=NN=C(C4=NC=CN=C4)C(C5=CC=CC=C5)=N3)=CN2,100,5.91,0.06
61,C12=CN=CC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=CN=NC=C5)=N3)=CN2,100,5.84 ,0.10
62,C12=CN=CC=C1C(CC3=NN=C(C4=CN=NC=C4)C(C5=CC=CC=C5)=N3)=CN2,100,6.21 ,0.04
63,C12=CN=CC=C1C(CC3=NN=C(C4=CC=CC=C4)C(C5=CC=C(CN6CCOCC6)C=C5)=N3)=CN2,100,7.27 ,0.06
64,C12=CN=CC=C1C(CC3=NN=C(C4=CC=C(CN5CCOCC5)C=C4)C(C6=CC=CC=C6)=N3)=CN2,100,8.33 ,0.15
65,O=C(OC)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CN=CC=C43)=NN=C2C5=CC=CC=C5,96.7,7.37 ,0.33
66,O=C(OC)C1=CC=C(C=C1)C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CN=CC=C54,96.8,7.02 ,0.06
67,O=C(NC)C(C=C1)=CC=C1C2=NC(CC3=CNC4=CN=CC=C43)=NN=C2C5=CC=CC=C5,100,6.48 ,0.04
68,O=C(NC)C1=CC=C(C=C1)C2=NN=C(N=C2C3=CC=CC=C3)CC4=CNC5=CN=CC=C54,100,7.29 ,0.05
